Trait	Tags	Conflicts	Modifier
Formerly-nice haircut has grown out.	Physical		
Well-groomed.	Physical		
Unshaven.	Physical		
Tousled/casual hair.	Physical		
Pleasant-smelling.	Physical		
Noticeable BO.	Physical		
Poor hygiene.	Physical		
Nicotine-stained teeth.	Physical		
Ruddy complexion.	Physical		
Acne.	Physical		
Pockmarked face.	Physical		
Hawklike nose.	Physical		
Slightly asymmetrical/once-broken nose.	Physical		
Roman nose.	Physical		
Visible veins.	Physical		
Tight skin; tendons visible.	Physical		
Loose skin.	Physical		
Slouches/hunched over.	Physical		
Excellent posture.	Physical		
Has a resting bitch face.	Physical		
Has a smirk constantly at his/her lips.	Physical		
Has a constant scowl/frown.	Physical		
Seems to always look sad or unhappy.	Physical		
Eyes are wide and expressive.	Physical		
Eyes are small and darting.	Physical		
Has a wide mouth.	Physical		
Has a sharp nose.	Physical		
Has a wide/large nose.	Physical		
Has a cute nose.	Physical		
Has a strong jawline.	Physical		
Has angular eyes.	Physical		
Unusual eye colour.	Physical		
Greying prematurely.	Physical		
Unusually tall.	Physical		
Shorter than average.	Physical		
"High, prominent cheekbones."	Physical		
Round face.	Physical		
"Innocent, young features."	Physical		
Dark circles under eyes.	Physical		
Crow's feet at corner of eyes.	Physical		
Balding prematurely.	Physical		
Bald.	Physical		
Wispy hair.	Physical		
"Thick, bushy eyebrows."	Physical		
Unusually thick eyelashes.	Physical		
Features typical of his/her ethnic heritage.	Physical		
Features unusual for his/her ethnic heritage.	Physical		
Grows facial hair quickly.	Physical		
Unable to grow facial hair.	Physical		
Hairy overall.	Physical		
Stocky build.	Physical		
Lean build.	Physical		
Lanky build.	Physical		
"Long, slender fingers."	"Hands,Physical"		
Prominent ears.	Physical		
One ear is slightly nubbed.	Physical		
Curly hair.	Physical		
Straight hair.	Physical		
Coarse hair.	Physical		
Long hair.	Physical		
Short hair.	Physical		
Minor facial scar.	Physical		
Has a surgical scar on his/her torso.	"Body,Physical"		
Has a birthmark on his/her body.	"Body,Physical"		
Has a birthmark on his/her face.	"Face,Physical"		
Distinctive laugh lines.	"Face,Physical"		
Clear and bright eyes.	"Eyes,Physical"		
Dark and occluded eyes.	"Eyes,Physical"		
"Thick, broad hands."	"Hands,Physical"		
Unusually muscular.	"Build,Physical"		
Seems to have lost a lot of weight recently.	"Build,Physical"		
Heavyset.	"Build,Physical"		
Currently losing weight.	"Build,Physical"		
Arched eyebrows.	"Eyebrows,Physical"		
"Thin, delicate eyebrows."	"Eyebrows,Physical"		
"Strong, cleft chin."	"Face,Physical"		
Singsong voice.	"Voice,Physical"		
Pleasant speaking voice.	"Voice,Physical"		
"Raspy, hoarse voice."	"Voice,Physical"		
Nasally voice.	"Voice,Physical"		
Speaks slowly.	"Voice,Physical"		
Speaks quickly.	"Voice,Physical"		
Has a lisp.	"Voice,Physical"		
"Deep, rich voice."	"Voice,Physical"		
Quiet voice.	"Voice,Physical"		
Voice naturally carries.	"Voice,Physical"		
Thin neck.	"Head,Physical"		
Hair brushed/pulled back severely.	"Hair,Physical"		
Rosy/full cheeks.	"Face,Physical"		
Very flexible.	"Body,Physical"		
Easy/charming smile.	"Smile,Physical"		
Affable demeanor.	"Nature,Physical"		
Old-fashioned appearance/style.	Physical		
Missing a limb.	"Disability,Physical"		
Part of his/her face is paralysed.	"Disability,Face,Physical"		
An appendage or limb is paralysed/crippled.	"Disability,Physical"		
A piece of his/her eyebrow is missing.	"Eyebrows,Physical"		
Something of a unibrow.	"Eyebrows,Physical"		
Coy smile.	"Smile,Physical"		
Wry grin.	"Smile,Physical"		
Smile doesn't reach eyes.	Physical		
Expressions are subdued and subtle.	Physical		
Nostrils flare when angry.	Physical		
Gap between his/her front teeth.	Physical		
Missing a tooth.	Physical		
Prone to nosebleeds.	Physical		
Haemophiliac.	Physical		
Diabetic.	Physical		
Common allergy.	Physical		
Uncommon allergy.	Physical		
Sensitive eyes.	Physical		
Sensitive/sharp ears.	Physical		
Missing a finger.	"Hands,Physical"		
A few small scars on hands and arms.	Physical		
Expressive eyebrows.	Physical		
Arches one eyebrow.	Physical		
Deadpan delivery.	Physical		
Thick neck.	Physical		
Bulging eyes.	Physical		
Prominent foreteeth.	Physical		
Cute overbite.	Physical		
Broad shoulders.	Physical		
Slumped shoulders.	Physical		
Round face.	Physical		
Hair sticks up in the back.	Physical		
Full lips.	Physical		
Thin lips.	Physical		
Grey/ashen face.	Physical		
Watery eyes.	Physical		
Clumsy. Tends to drop or bump into things.	Physical		
Has a few cuts and bruises.	Physical		
Eyes are bloodshot.	Physical		
Eyes are red as if from crying or sick.	Physical		
Asthmatic.	Physical		
Has a mild cancer.	Physical		
Has inoperable cancer.	Physical		
Keeps a pen/pencil behind his/her ear.	Physical		
Uses reading glasses.	Physical		
Wears stylish glasses.	Physical		
Wears unstylish glasses.	Physical		
Freckles.	Physical		
"A rich, earthy complexion."	Physical		
A light olive complexion.	Physical		
High contrast between his/her features.	Physical		
A golden complexion.	Physical		
"A pale, ethereal complexion."	Physical		
"A dark, warm complexion."	Physical		
"A rich, hearty laugh."	Physical		
"Warm, friendly face."	Physical		
Resting bitch face.	Physical		
Appears severe and harsh.	Physical		
"A throaty, sniggering laugh."	Physical		
"A breathy, snorting laugh."	Physical		
"A cackling, wheezing laugh."	Physical		
"A light, giggling laugh."	Physical		
Weak stomach.	Physical		
Has a distinctive jacket they wear.	Physical		
Has an unusual and unique fashion sense.	Physical		
Has a number of unique tattoos.	Physical		
Has a tattoo that is shameful/embarassing.	Physical		
Has a tattoo with deep personal meaning.	Physical		
Heterochromatic.	Physical		
Hands are rough and calloused.	Physical		
Hands are well-maintained and prim.	Physical		
Has a cowlick/shock of hair sticking up in the back.	Physical		
Sun-lightened hair.	Physical		
Widow's peak.	Physical		
Half-lidded eyes/bored/sleepy expression.	Physical		
Excellent diction.	Physical		
Slurs/mumbles.	Physical		
Bushy/frizzy hair.	Physical		
Curly hair.	Physical		
Golden blonde hair.	Physical		
Pale blonde hair.	Physical		
Hair is greying prematurely.	Physical		
Hair is greying at the temples.	Physical		
Pure white hair.	Physical		
Warm brown hair.	Physical		
Cool brown hair.	Physical		
Coppery hair.	Physical		
Deep auburn hair.	Physical		
Cool black hair.	Physical		
Raven black hair.	Physical		
Hair is dyed a natural colour.	"Hair,Physical"		
Hair is dyed a bright/pastel colour.	"Hair,Physical"		
"Hair was dyed, is now growing/fading out."	"Hair,Physical"		
Missing at least one tooth.	Physical		
Surprisingly photogenic.	Physical		
Not very photogenic.	Physical		
Albino.	Physical		
Sweats easily or profusely.	"Body,Physical"		
Seems to always have a frog in his/her throat.	"Voice,Physical"		
Raspy or gravelly voice.	"Voice,Physical"		
"Charming, broad smile."	"Face,Physical"		
Seems immune to the cold.	"Body,Preference,Physical"	Cold	
Seems to always be cold.	"Body,Preference,Physical"	Cold	
"Strong, thick fingers."	"Hands,Physical"		
"Rough, calloused hands."	Physical		
"Has a wiry, 'old-man' strength belied by their appearance."	Physical		
Hair is thinning on top.	Physical		
Bald on top.	Physical		
Immaculately styled hair.	Physical		
Missed a spot shaving.	Physical		
Skinny but with a slight paunch.	Physical		
Slumped or weak shoulders.	Physical		
Broad shoulders.	Physical		
Slight scoliosis.	Physical		
Carpal tunnel.	Physical		
Developing arthritis.	Physical		
Suffers from arthritis.	Physical		
Tends to talk out of one side of his/her mouth or with his/her mouth almost closed.	Physical		
Well-maintained facial hair.	Physical	BeardMaint	
Facial hair is unkempt or neglected.	Physical	BeardMaint	
Long or bushy beard.	Physical		
Close-cropped or short beard.	Physical		
Goatee or small beard.	Physical		
Thick moustache.	Physical		
Thin or elegant moustache.	Physical		
Facial hair is unusual or old-fashioned.	Physical		
Five-o'clock shadow.	Physical		
Face develops deep lines or furrowed brow when upset or stressed.	Physical		
"Has a one-sided, smirky smile."	Physical		
Pursed-lip smile.	Physical		
Has an embarassing nickname.	Personality	Nickname	
Has an embarassing nickname. Has grown fond of it.	Personality	Nickname	
Has no family to speak of.	"Family,Personality"		
"Has a small, close-knit family."	"Family,Personality"		
"Has only a few family members, all estranged."	"Family,Personality"		
Has a very large family.	"Family,Personality"		
Is a regular at a local diner.	Personality		
Involved in a local sports team.	Personality		
On good terms with his/her neighbours.	Personality		
Has a network of people who owes him/her favours.	Personality		
"Owes people favours, including some powerful individuals."	Personality		
A social pariah due to a past event.	Personality		
An outsider; doesn't fit into the local circle.	Personality		
A newcomer to the area. Doesn't know many people yet.	Personality		
A newcomer to the area; his/her arrival has made a stir.	Personality		
Has a beloved pet.	Personality		
Part of an insular community that distrusts outsiders.	Personality		
Estranged parents.	Personality		
Close with his/her grandparents.	Personality		
Good friends with his/her colleagues.	Personality		
Has a small group of tight-knit friends.	Personality		
Has a group of friends who interlink somewhat.	Personality		
Is the lynchpin between several disparate groups of friends. 	Personality		
Moves between groups of people; social butterfly.	Personality		
Moves between groups of people; social moth.	Personality		
Has a child.	Personality		
Has an illegitimate child/child from an affair/one-night-stand.	Personality		
Has a half-sibling.	Personality		
Parents have remarried.	Personality		
Still close with childhood friend(s).	Personality		
Fancies a childhood friend.	Personality		
Secretly fancies a close friend.	Personality		
Fancies an acquaintance.	Personality		
Fancies a friend but doesn't have the affection returned.	Personality		
A friend fancies them; doesn't return the affection.	Personality		
A close friend secretly fancies them.	Personality		
Has a large number of friends of the opposite sex.	Personality		
Maintains distance from the opposite sex as a matter of course.	Personality		
Keeps his/her various groups of relationships separate.	Personality		
Is close with his/her parents.	Personality		
Close with only one parent.	Personality		
Doesn't know his/her biological parents.	Personality		
Cut ties with family.	Personality		
Ostracised by his/her family.	Personality		
One of his/her parents is not his/her biological parent.	Personality		
The favoured child.	Personality		
The least-favoured child.	Personality		
Doted on by grandparents.	Personality		
Bullied by schoolmates/coworkers.	Personality		
Looked down upon by peers.	Personality		
Admired by peers.	Personality		
Has few friends of the opposite sex.	Personality		
Mainly has friends of the opposite sex.	Personality		
Seems to be on a first-name basis with everyone in his/her community.	Personality		
Has a very close relationship with a sibling.	Personality		
Has mixed relationships with siblings.	Personality		
Volunteers at a local charity.	Personality		
Volunteers at a local religious center.	Personality		
Volunteers at a local outreach group.	Personality		
Keeps in touch with childhood community.	Personality		
Teaches a local hobby class.	Personality		
Has a number of casual romantic relationships.	Personality		
Is currently cheating/having an affair.	Personality		
Estranged from his/her exes.	Personality		
Is part of a lower social class or caste.	Personality		
Is an untouchable or equivalent; a social pariah.	Personality		
Wants to prove him/herself to a specific person.	Personality		
Desperate to escape or forget his/her past life.	Personality		
Trying to atone for a terrible mistake or sin.	Personality		
Wants to acquire wealth or material goods.	Personality		
Hedonist: wants to experience pleasure and the fine life.	Personality		
Wants to be in control; have authority.	Personality		
"Wants to avoid being bored, have fun."	Personality		
Obsessed with revenge or vengeance.	Personality		
Completely focused on delivering or achieving justice.	Personality		
"Needs to be respected, admired, and maintain face."	Personality		
Always looking for the next big thrill or challenge.	Personality		
All about a particular goal or objective.	Personality		
Only cares about his/her art or work.	Personality		
Trying to reclaim his/her lost lifestyle or position.	Personality		
Wants to be spiritually/morally good.	Personality		
Will protect and care for his/her family or close community at all costs.	Personality		
Needs to prove that he/she is valuable or useful.	Personality		
Desperate to have his/her genius or skill recognised.	Personality		
Mainly concerned with meeting his/her physical needs and staying safe.	Personality		
Really only cares about staying out of drama and danger. Wants a quiet life.	Personality		
Needs to belong to a higher calling or greater cause.	Personality		
Wants complete freedom.	Personality		
"Needs love, affection, or trust."	Personality		
Wants to succeed and is constantly trying to be the best among his/her peers.	Personality		
Desperate to find a cure for a malady.	Personality		
Wants to be remembered/leave a legacy.	Personality		
Wants to be well-known/famous.	Personality		
Cocks his/her head when thinking or paying attention.	"Gesture,Personality"		
Wiggles his/her head arrogantly.	Personality		
Enjoys arts and/or crafts.	Personality		
Leaves small notes around to remind or encourage.	Personality		
Likes to personalise his/her environment.	Personality		
Dislikes settling into a place he/she won't be in long.	Personality		
Had an unexpected pregnancy when he/she was young.	Personality		
Had a significant pregnancy scare.	Personality		
Currently trying to have a child.	Personality		
Looking to/working on adopting a child.	Personality		
Treats others with a very cavalier/casual attitude.	"Social,Personality"		
Takes a cavalier attitude towards life.	"Nature,Personality"		
"Currently pregnant, or partner is pregnant."	Personality		
Unable to have children.	Personality		
Has a small number of children.	"Community,Personality"		
Has a large number of children.	"Community,Personality"		
Doesn't mind a cluttered or chaotic environment.	Personality	Cleanliness	
Enjoys a somewhat chaotic environment.	Personality	Cleanliness	
Something of a slob.	Personality	Cleanliness	
Silly/goofy sense of humor.	Personality	Humor	
Dark/gallows sense of humor.	Personality	Humor	
Absurdist sense of humor.	Personality	Humor	
Slapstick sense of humor.	Personality	Humor	
Takes pleasure in subtly putting others down.	Personality		
Gets a sense of power from making others look bad.	Personality		
A small amount of power goes to his/her head.	Personality		
Extremely nitpicky and inflexible about rules.	Personality		
"Gets a sense of security from knowing what's expected and required, especially when codified into rules and regulations."	Personality		
Finds rules and regulations stifling; prefers to have freedom to follow his/her whims and instincts.	Personality		
Completely oblivious to flirting.	Personality		
Tends to miss or misread social cues.	Personality		
Twirls/plays with facial hair.	Personality		
Bounces leg while sitting/standing.	Personality		
Stretches his/her fingers/hands out.	Personality		
Pops his/her knuckles.	Personality		
Rolls his/her shoulders/neck.	Personality		
Has a whiny/obnoxious voice.	Personality		
Natural charisma; makes everything look like a performance or pose.	Personality		
Has a pen/pencil tucked behind his/her ear.	Personality		
"Tends to cry emotionally, especially when happy, excited, afraid, etc."	Personality		
Strongly identifies with a culture foreign to the one in which he/she lives.	Personality		
Self-destructive.	Personality		
Uses sex for validation.	Personality		
Uses talents/mind for validation.	Personality		
Discusses hard and painful topics flippantly.	Personality		
Throws touchy topics in people's faces.	Personality		
Bottles up emotions until something leaks out.	Personality		
Tends to do something to reinvent him/herself when under stress.	Personality		
Has difficulty broaching any emotional topic or addressing conflict.	Personality		
Prone to malapropisms or accidental innuendo.	Personality		
Student.	Situation		
Intern.	Situation		
New hire.	Situation		
Old veteran/experienced.	Situation		
About to retire.	Situation		
Retired.	Situation		
Part-time worker.	Situation		
Volunteer worker.	Situation		
Works for a nonprofit.	Situation		
Works for a large business.	Situation		
Owns own business.	Situation		
Works for government.	Situation		
Works for small business.	Situation		
"Unemployed, looking for work."	Situation		
"Unemployed, not looking for work."	Situation		
Vagrant.	Situation		
Works in church in or religious establishment.	Situation		
Freelancer.	Situation		
Consultant.	Situation		
Minimalist.	Personality		
Maximalist.	Personality		
Has a spartan/austere lifestyle.	Personality		
